id,situation,question_1,min_1,tmp_1,max_1,question_2,min_2,tmp_2,max_2,question_3,tmp_3
1,"Egy barátod azzal hív fel, hogy lerobbant a kocsija az országúton, és megkér, hogy menj érte. Ehhez azonban a munkaidőd vége előtt két órával el kellene kéredzkedned a munkahelyedről.",Megtennéd?,Biztosan nem tenném meg ,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
2,"Munkahelyeden olyan pozíciót kínálnak neked, amelyben a jelenleginél magasabb fizetést kapnál, azonban otthonodtól távol kellene dolgoznod, így csak hétvégente találkozhatnál a családoddal, barátaiddal.",Elfogadnád a pozíciót?,Biztosan nem fogadnám el,Biztosan nem fogadnám el  O  O  O  O  O  O  O  O  O  O  O  Biztosan elfogadnám,Biztosan elfogadnám,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd fogadná el a pozíciót?,0 1 2 3 4 5 6 7 8 9 10
3,"Egy fényképész barátod benevez egy online fotópályázatra, ahol közönségszavazatok döntenek a győztesről. Bár még nem láttad a versenymunkáit, barátod megkér, hogy szólj az ismerőseidnek, szavazzanak rá.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
4,"Az aznapi utolsó vonathoz igyekezve észreveszed, hogy egy anyuka próbálja egyedül felcipelni babakocsiját a pályaudvar lépcsőjén.",Odamennél hozzá?,Biztosan nem mennék oda hozzá,Biztosan nem mennék oda hozzá O O O O O O O O O O O Biztosan odamennék hozzá,Biztosan odamennék hozzá,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd menne oda hozzá?,0 1 2 3 4 5 6 7 8 9 10
5,"Egy kollégád hazavisz kocsival a hosszúra nyúlt céges parti után. Útközben rendőrök állítanak meg. Kollégád megkér, hogy amíg az intézkedő rendőr a kocsihoz ér, gyorsan cseréljetek helyet a volán mögött, mert ő ivott egy pohár bort a partin, te pedig nem fogyasztottál alkoholt, és a jogosítványod is nálad van.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
6,"Egy volt osztálytársad, aki korábban a beosztottadként dolgozott, állásra jelentkezik valahová. Bár nem bizonyult különösebben jó munkaerőnek, megkér, hogy adj neki ajánlólevelet.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
7,"A lakásodtól tíz percre lévő téren ruhagyűjtést szerveznek rászorulók számára. A szekrényedben akadnak ruhák, amelyekre nincs szükséged.",Elvinnéd ezeket a ruhákat a térre?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd vinné el ruháit a térre?,0 1 2 3 4 5 6 7 8 9 10
8,"Lehetőséged nyílik jelenlegi munkádat egy számodra kevésbé izgalmas, de jobban fizető állásra cserélni.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
9,"A tizenkét lakásos társasházban, amelyben laksz, közösképviselőre volna szükség a lakóközösség ügyeinek intézéséhez, és a többi lakó megkér, egy jelképes összegért cserébe vállald el te a feladatot.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
10,"A munkahelyed továbbképzést szervez, amelyen kötelező a részvétel. A munkatársad családi okokból mégsem nem tud részt venni, és megkér, írd alá helyette a jelenléti ívet.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
11,"Helyi önkéntesek szemétszedési akciót hirdetnek szombatra és vasárnapra a közeli elhanyagolt park megtisztítására, és minden helyi lakos segítségére számítanak. Neked nincs programod a hétvégére.",Részt vennél az akcióban?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd venne részt az akcióban?,0 1 2 3 4 5 6 7 8 9 10
12,"Egy fontos vizsga írása közben a melletted ülő ismerősöd megkér, hogy mutasd meg neki a saját megoldásaidat.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
13,"Az unokatestvéred ugyanahhoz a céghez jelentkezik állásra, amelyiknél te is dolgozol, és van befolyásod a személyzeti döntésekre. Az unokatestvéred, aki képességeit tekintve megfelel a pozícióra, megkér, hogy szólj pár jó szót az érdekében.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
14,"Felkínálnak neked egy állást, amely ugyan magasabb fizetéssel járna, mint a jelenlegi, de a bér egy részét adózatlanul, “zsebbe” kapnád.",Elfogadnád az állást?,Biztosan nem fogadnám el ,Biztosan nem fogadnám el  O  O  O  O  O  O  O  O  O  O  O  Biztosan elfogadnám,Biztosan elfogadnám,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd fogadná el az állást?,0 1 2 3 4 5 6 7 8 9 10
15,"A szerelő, aki megjavította lakásodban a fűtést, felajánlja, hogy nem ad számlát, így kevesebbet kell fizetned.",Elfogadnád az ajánlatát?,Biztosan nem fogadnám el ,Biztosan nem fogadnám el  O  O  O  O  O  O  O  O  O  O  O  Biztosan elfogadnám,Biztosan elfogadnám,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd fogadná el az ajánlatát?,0 1 2 3 4 5 6 7 8 9 10
16,"Nyaralásodhoz egy internetes szálláskereső oldalon keresztül foglalsz szállodát. Miután hazaértél a nyaralásból, lehetőséged van az oldalon egy ötperces kérdőív kitöltésével értékelni a szálláshelyet a jövőbeli szálláskeresők számára.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
